id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jeramy;Schinner;Orval_Schaefer@yahoo.com;drat;2023-11-08T19:32:23;5227;11761
2;Jairo;Pfannerstill;Vince_Koch@hotmail.com;soggy boo;2023-11-09T05:55:53;14375;16506
3;Major;Ullrich;Deanna_Christiansen@hotmail.com;utterly;2023-11-08T23:50:28;559;1280
4;Breana;Gorczany;Cydney.Dicki56@hotmail.com;even homework useful;2023-11-09T01:11:31;23888;3574
5;Miracle;Kessler;Jazmyne.Emard@gmail.com;boo before yawningly;2023-11-09T08:04:10;16057;12201
6;Melyna;Skiles;Nya57@yahoo.com;ouch;2023-11-09T13:51:52;18647;8990
7;Gilberto;Beier;Bella.Carroll@hotmail.com;hence energize violently;2023-11-09T12:28:29;31952;24487
8;Anne;Hartmann;Jayce95@gmail.com;vivacious;2023-11-09T01:18:45;5386;173
9;Orlo;Lehner;Amani77@gmail.com;thoughtfully;2023-11-09T11:44:20;29724;26304
10;Carmen;Wilderman;Watson.Rosenbaum@hotmail.com;greedily up;2023-11-08T20:02:43;30039;10680
